"geoid","AFFH.pov_idx","AFFH.lbr_idx","AFFH.haz_idx","AFFH.tcost_idx","AFFH.trans_idx","HUD.School.Index","ACS.total.housing.units","ACS.vacant.housing.units","ACS.rental.vacancy.rate","ACS.rented.units","ACS.rented.less.500","ACS.rented.500.999","ACS.rented.1000.1499","ACS.rented.1500.1999","ACS.rented.2000.2499","ACS.rented.2500.2999","ACS.rented.3000.more","ACS.multi.family.units","ACS.3.bedrooms","ACS.4.bedrooms","ACS.5.bedrooms","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM","Region"
25027730700,82,83,83,85,33,48,2813,83,"0",660,44,68,330,86,120,12,0,714,1314,296,53,"High",0.75,"REGION 7"
25027730801,88,98,73,86,33,48,1563,117,"9.1",231,56,14,100,35,26,0,0,218,634,446,133,"Very High",1,"REGION 7"
25027730802,89,84,65,90,42,48,831,49,"0",312,3,150,103,51,5,0,0,375,239,198,149,"High",0.75,"REGION 7"
25027730901,66,83,70,90,43,40,1466,91,"7.2",469,71,113,165,111,0,9,0,615,836,233,114,"Moderate",0.5,"REGION 7"
25027730902,49,80,76,86,36,40,1170,57,"0",405,41,105,170,89,0,0,0,384,497,270,21,"Moderate",0.5,"REGION 7"
25027731001,86,57,46,86,31,34,818,0,"0",277,0,112,88,52,0,25,0,322,345,30,37,"Low",0.25,"REGION 7"
25027731002,35,32,NA,91,41,42,2670,219,"6.9",1253,284,440,447,68,0,0,14,1357,1151,172,86,"Moderate",0.5,"REGION 7"
25027731101,22,41,68,94,44,53,1683,137,"8",816,137,279,370,30,0,0,0,1058,734,130,33,"Low",0.25,"REGION 7"
25027731102,66,76,65,92,44,39,1079,67,"3.3",512,47,183,274,8,0,0,0,652,477,91,43,"Low",0.25,"REGION 7"
25027731202,NA,69,67,NA,NA,4,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Low",0.25,"REGION 7"
25027731203,5,6,NA,98,56,24,2295,199,"3.3",1734,620,560,426,61,67,0,0,2252,597,135,26,"Very Low",0,"REGION 7"
25027731204,11,3,NA,96,48,7,839,86,"5.5",587,50,229,286,22,0,0,0,786,394,22,9,"Very Low",0,"REGION 7"
25027731300,6,14,40,97,50,7,1588,176,"4.7",1238,189,558,440,25,26,0,0,1493,474,125,34,"Very Low",0,"REGION 7"
25027731400,2,7,38,99,55,3,1847,110,"3.5",1541,493,508,530,10,0,0,0,1743,447,185,26,"Very Low",0,"REGION 7"
25027731500,2,6,29,98,57,5,2224,301,"2",1689,396,846,430,17,0,0,0,1989,570,146,12,"Very Low",0,"REGION 7"
25027731600,25,45,39,98,51,6,2520,492,"8.2",1808,101,888,591,188,26,0,14,2379,668,103,68,"Moderate",0.5,"REGION 7"
25027731700,10,14,12,98,42,5,1516,234,"8.5",1179,152,663,352,6,6,0,0,1487,81,0,0,"Low",0.25,"REGION 7"
25027731800,10,35,24,98,54,NA,3048,221,"4.5",2251,918,966,336,0,0,31,0,2623,1155,149,19,"Low",0.25,"REGION 7"
25027731900,11,22,21,97,53,NA,2324,447,"9.1",1421,245,653,507,7,9,0,0,2035,648,199,26,"Very Low",0,"REGION 7"
25027732001,0,8,67,95,45,30,1233,83,"7",1102,535,360,200,7,0,0,0,918,406,39,10,"Very Low",0,"REGION 7"
25027732002,65,56,71,93,38,4,1722,67,"0",991,72,197,331,363,28,0,0,931,412,70,36,"High",0.75,"REGION 7"
25027732201,54,60,74,94,43,24,1523,75,"1.4",795,120,338,304,33,0,0,0,1049,324,100,13,"Moderate",0.5,"REGION 7"
25027732202,51,46,70,94,47,24,1377,137,"3.6",593,8,282,275,28,0,0,0,690,680,74,12,"Low",0.25,"REGION 7"
25027732203,41,36,58,95,46,17,1322,164,"10.6",728,0,225,429,65,0,9,0,1119,475,23,23,"Low",0.25,"REGION 7"
25027732301,85,71,NA,88,37,28,1838,156,"8.1",363,22,143,151,47,0,0,0,487,811,197,41,"Moderate",0.5,"REGION 7"
25027732302,38,49,NA,96,51,5,1733,223,"8.1",799,0,307,426,56,0,0,10,1194,874,61,17,"Low",0.25,"REGION 7"
25027732400,9,6,43,97,53,4,2440,242,"3.8",1750,188,716,766,80,0,0,0,2088,1391,155,30,"Very Low",0,"REGION 7"
25027732500,8,5,19,97,47,17,884,116,"6",645,63,320,250,12,0,0,0,780,473,8,18,"Very Low",0,"REGION 7"
