"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
25021403300,4167,160776,0.76,2.13,"Very High",1
25021403400,6995,129940,3.41,5.83,"Very High",1
25021403500,6427,121029,4.71,7.07,"Very High",1
25021404100,4122,147361,2.71,4.8,"Very High",1
25021404201,3895,186974,2.45,5.84,"Very High",1
25021404202,5022,184926,1.02,3.35,"Very High",1
25021404301,5610,198640,3.5,4.55,"Very High",1
25021404302,3680,159400,0,6.69,"Very High",1
25021404400,6580,142143,2.04,6.78,"Very High",1
25021405100,5864,189265,0,3.99,"Very High",1
25021406101,5866,138315,2.51,5.05,"Very High",1
25021406102,6644,152917,2.34,4.53,"Very High",1
25021407100,8110,97591,2,4.36,"High",0.75
25021408101,8122,119345,2.75,5.83,"High",0.75
25021408102,5013,101250,2.92,2.73,"High",0.75
25021409101,6356,131000,5.45,4.63,"High",0.75
25021409102,5283,142969,1.82,2.87,"Very High",1
25021410100,6374,87625,3,7.44,"High",0.75
25021410300,4668,101444,2.3,5.81,"High",0.75
25021410400,6306,93224,3.96,5.31,"High",0.75
25021411100,8154,91959,1.54,6.23,"Moderate",0.5
25021411200,7039,99875,3.48,5.42,"High",0.75
25021411301,5828,104918,2.52,4.91,"High",0.75
25021411302,3892,100268,3.4,1.99,"Moderate",0.5
25021412100,6591,142318,1.91,4.4,"Very High",1
25021412200,3738,139167,0.83,3.27,"Very High",1
25021412300,5035,130764,0.69,4.94,"Very High",1
25021413100,5804,81786,7.32,5.46,"High",0.75
25021413200,6107,69072,10.3,7.7,"Moderate",0.5
25021413300,4977,110721,1.69,5.67,"High",0.75
25021413401,2988,64028,4.28,4.18,"Moderate",0.5
25021413402,4539,85000,4.47,6.32,"Moderate",0.5
25021413500,4603,88825,10.43,2.68,"Moderate",0.5
25021414100,5604,125281,1.91,5.12,"Very High",1
25021414200,7458,163598,0.18,4.55,"Very High",1
25021414300,5131,102083,2.59,5.14,"High",0.75
25021415101,4953,108618,4.82,5.81,"High",0.75
25021415102,8023,69606,9.6,11.45,"High",0.75
25021415200,5789,88698,2.97,7.54,"High",0.75
25021415300,3797,118523,0,3.85,"Very High",1
25021416101,5763,141629,2.63,4.23,"Very High",1
25021416102,3889,104821,3.08,3.75,"Very High",1
25021416200,6725,105500,3.97,5.86,"High",0.75
25021416300,4923,121080,3.69,5.17,"Very High",1
25021416400,6051,122216,2.93,4.13,"Very High",1
25021417100,4470,87535,3.59,4,"High",0.75
25021417200,8234,62188,7.06,6.93,"High",0.75
25021417300,2988,86189,2.35,6.95,"Moderate",0.5
25021417400,2365,86679,2.99,2.64,"High",0.75
25021417501,5117,76406,7.27,7.22,"High",0.75
25021417502,4530,62400,8.2,2.26,"Moderate",0.5
25021417601,5121,70230,4.06,11.33,"Very High",1
25021417602,5012,68689,4.5,4.82,"High",0.75
25021417701,5283,46852,7.83,9.42,"Moderate",0.5
25021417702,2912,85089,3.05,10.82,"High",0.75
25021417801,4814,87566,2.71,6.9,"Moderate",0.5
25021417802,3213,24384,31.84,13.59,"Very Low",0
25021417901,6264,44875,9.27,7.43,"Moderate",0.5
25021417902,3875,60000,9.58,9.19,"Low",0.25
